price,city,country,area,bedrooms,bathrooms,type,title,description,images,user_id,is_featured
45000,"New York","USA",85,3,2,"House","Modern Downtown Loft","Stunning modern loft in the heart of downtown with amazing city views","[""0.5251813752278731.jpg"",""0.9474726004765275.jpg"",""0.48924935318167284.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",true
35000,"Paris","France",65,2,1,"Flat","Charming Parisian Apartment","Beautiful apartment near the Eiffel Tower with classic French architecture","[""0.7434804671904216.jpg"",""0.15793045444996423.jpg"",""0.3352959663321089.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",true
28000,"London","UK",55,1,1,"Flat","Cozy London Studio","Perfect studio apartment in central London near public transport","[""0.024232375802923478.jpg"",""0.3118400791938343.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",false
65000,"Sydney","Australia",120,4,3,"House","Beachside Family Home","Spacious family home just minutes from the beach with ocean views","[""0.09553269370399997.jpg"",""0.6269285067954493.jpg"",""0.19777379143722262.jpg"",""0.5251813752278731.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",true
22000,"Prague","Czech Republic",42,1,1,"Flat","Historic Center Apartment","Charming apartment in Prague's historic district with original features","[""0.9474726004765275.jpg"",""0.48924935318167284.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",false
55000,"Barcelona","Spain",95,3,2,"House","Mediterranean Villa","Beautiful villa with terrace and Mediterranean views","[""0.7434804671904216.jpg"",""0.15793045444996423.jpg"",""0.3352959663321089.jpg"",""0.024232375802923478.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",true
38000,"Amsterdam","Netherlands",75,2,2,"Flat","Canal House Apartment","Traditional Dutch canal house with modern amenities","[""0.3118400791938343.jpg"",""0.09553269370399997.jpg"",""0.6269285067954493.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",false
48000,"Toronto","Canada",88,3,2,"House","Downtown Toronto Home","Modern home in trendy Toronto neighborhood","[""0.19777379143722262.jpg"",""0.5251813752278731.jpg"",""0.9474726004765275.jpg"",""0.48924935318167284.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",true
31000,"Vienna","Austria",60,2,1,"Flat","Imperial District Flat","Elegant apartment in Vienna's historic imperial district","[""0.7434804671904216.jpg"",""0.15793045444996423.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",false
72000,"Zurich","Switzerland",110,4,3,"House","Alpine View Chalet","Luxury chalet with stunning Alpine mountain views","[""0.3352959663321089.jpg"",""0.024232375802923478.jpg"",""0.3118400791938343.jpg"",""0.09553269370399997.jpg"",""0.6269285067954493.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",true
26000,"Budapest","Hungary",52,1,1,"Flat","Danube River Apartment","Cozy apartment with views of the beautiful Danube River","[""0.19777379143722262.jpg"",""0.5251813752278731.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",false
42000,"Berlin","Germany",78,2,2,"Flat","Modern Berlin Loft","Industrial-style loft in trendy Berlin district","[""0.9474726004765275.jpg"",""0.48924935318167284.jpg"",""0.7434804671904216.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",false
58000,"Rome","Italy",92,3,2,"House","Roman Villa","Traditional Italian villa near historic landmarks","[""0.15793045444996423.jpg"",""0.3352959663321089.jpg"",""0.024232375802923478.jpg"",""0.3118400791938343.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",true
33000,"Dublin","Ireland",68,2,1,"Flat","Georgian Dublin Apartment","Classic Georgian apartment in Dublin city center","[""0.09553269370399997.jpg"",""0.6269285067954493.jpg"",""0.19777379143722262.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",false
67000,"Copenhagen","Denmark",105,4,3,"House","Scandinavian Design Home","Modern Scandinavian home with minimalist design","[""0.5251813752278731.jpg"",""0.9474726004765275.jpg"",""0.48924935318167284.jpg"",""0.7434804671904216.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",true
29000,"Krakow","Poland",58,2,1,"Flat","Old Town Apartment","Charming apartment in Krakow's medieval old town","[""0.15793045444996423.jpg"",""0.3352959663321089.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",false
51000,"Stockholm","Sweden",89,3,2,"House","Archipelago House","Beautiful house overlooking Stockholm's archipelago","[""0.024232375802923478.jpg"",""0.3118400791938343.jpg"",""0.09553269370399997.jpg"",""0.6269285067954493.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",false
36000,"Helsinki","Finland",71,2,2,"Flat","Design District Loft","Modern loft in Helsinki's famous design district","[""0.19777379143722262.jpg"",""0.5251813752278731.jpg"",""0.9474726004765275.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",false
44000,"Oslo","Norway",82,3,2,"House","Fjord View Cabin","Rustic cabin with breathtaking fjord views","[""0.48924935318167284.jpg"",""0.7434804671904216.jpg"",""0.15793045444996423.jpg"",""0.3352959663321089.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",false
39000,"Lisbon","Portugal",74,2,2,"Flat","Hilltop Apartment","Sunny apartment on Lisbon's hills with city views","[""0.024232375802923478.jpg"",""0.3118400791938343.jpg"",""0.09553269370399997.jpg"",""0.6269285067954493.jpg""]","34daf33e-2c57-42e0-a358-5f0bb90017bc",false
